,ENG-SPA_id,Phonemes_ENG,Phonemes_SPA,Total_phonemes_ENG,Total_phonemes_SPA
0,s2_1_seg1,[],"[('p', 2.246, 2.286), ('m', 2.926, 3.006), ('m', 3.256, 3.316), ('w', 3.406, 3.476), ('B', 3.506, 3.556), ('m', 3.686, 3.746)]",0,6
1,s2_1_seg2,"[('f', 0.23, 0.35), ('v', 0.57, 0.62)]","[('p', 0.0, 0.026), ('m', 0.426, 0.486), ('m', 1.336, 1.386)]",2,3
2,s2_1_seg3,"[('w', 0.16, 0.21), ('p', 1.05, 1.1), ('b', 1.35, 1.38), ('f', 1.49, 1.57), ('w', 3.51, 3.56), ('m', 3.71, 3.79)]","[('w', 0.226, 0.336), ('p', 1.396, 1.426), ('B', 1.616, 1.686), ('m', 3.706, 3.786)]",6,4
3,s2_1_seg4,"[('m', 0.33, 1.76), ('m', 2.0, 2.04), ('m', 3.75, 3.99), ('b', 4.5, 4.6), ('p', 5.52, 5.55), ('v', 7.93, 7.96), ('f', 8.29, 8.32), ('m', 8.59, 8.67), ('v', 9.2, 9.23)]","[('m', 0.616, 1.436), ('p', 1.586, 1.646), ('m', 1.946, 1.996), ('p', 5.136, 5.176), ('p', 6.546, 6.586), ('p', 6.746, 6.776), ('p', 7.836, 7.906), ('B', 8.226, 8.276), ('m', 9.186, 9.236), ('m', 9.326, 9.426)]",9,10
4,s2_1_seg5,"[('f', 0.07, 0.1), ('v', 0.15, 0.18), ('f', 1.14, 1.17), ('v', 1.4, 1.43), ('m', 1.71, 1.8), ('v', 2.18, 2.25), ('w', 3.26, 3.36), ('m', 3.9, 3.94), ('b', 4.07, 4.1)]","[('B', 0.366, 0.416), ('m', 0.746, 0.816), ('p', 0.816, 0.846), ('w', 0.846, 0.906), ('m', 2.156, 2.236), ('p', 2.336, 2.396), ('p', 3.346, 3.376), ('m', 4.236, 4.306)]",9,8
5,s2_1_seg6,"[('f', 0.09, 0.15), ('m', 0.28, 0.33), ('w', 0.33, 0.37), ('f', 0.89, 0.92), ('b', 2.23, 2.29), ('m', 2.44, 2.52), ('w', 2.66, 2.77), ('w', 2.85, 2.9), ('p', 3.08, 3.11)]","[('B', 1.996, 2.026), ('p', 2.986, 3.016)]",9,2
6,s2_1_seg7,"[('w', 0.0, 0.03), ('w', 0.13, 0.18), ('p', 0.94, 0.99)]","[('w', 0.026, 0.076), ('B', 0.636, 0.706), ('p', 0.946, 0.976)]",3,3
7,s2_1_seg8,"[('m', 2.57, 2.69)]","[('w', 0.736, 0.836), ('B', 0.866, 0.906), ('m', 2.436, 2.496)]",1,3
8,s2_1_seg9,"[('m', 1.92, 2.01)]","[('F', 2.986, 3.326), ('m', 3.746, 3.826), ('b', 3.826, 3.866), ('p', 4.476, 4.546)]",1,4
9,s2_1_seg10,"[('w', 0.0, 0.03), ('p', 0.1, 0.19), ('m', 0.42, 0.48), ('w', 1.12, 1.15), ('v', 2.73, 2.76), ('p', 3.0, 3.03), ('v', 4.22, 4.25)]","[('p', 0.0, 0.046), ('m', 0.216, 0.286), ('m', 1.646, 1.676), ('p', 2.366, 2.396), ('p', 3.096, 3.146), ('B', 4.536, 4.566)]",7,6
10,s2_1_seg11,"[('v', 0.45, 0.49)]","[('B', 0.676, 0.706)]",1,1
11,s2_1_seg12,"[('b', 0.39, 0.44), ('b', 1.11, 1.17), ('m', 1.55, 1.61), ('p', 1.77, 1.81), ('p', 1.99, 2.02)]","[('m', 0.386, 0.436), ('p', 0.946, 0.976), ('p', 1.236, 1.296), ('p', 1.406, 1.436), ('m', 1.826, 1.876)]",5,5
12,s2_1_seg13,"[('b', 2.26, 2.44)]","[('m', 0.506, 0.586), ('b', 0.586, 0.626)]",1,2
13,s2_1_seg14,"[('p', 0.29, 0.32)]","[('p', 0.536, 0.576), ('m', 1.506, 1.566)]",1,2
14,s2_1_seg15,"[('m', 0.86, 0.93), ('p', 0.93, 0.96), ('v', 1.85, 1.89), ('m', 2.23, 2.29), ('w', 2.29, 2.35), ('m', 2.42, 2.5)]","[('m', 0.566, 0.596), ('p', 0.596, 0.626), ('B', 1.696, 1.746), ('m', 2.076, 2.106), ('m', 2.106, 2.146), ('p', 2.246, 2.316), ('p', 2.446, 2.486)]",6,7
15,s2_1_seg16,"[('w', 0.07, 0.13), ('m', 1.62, 1.73)]","[('w', 0.166, 0.246)]",2,1
16,s2_1_seg17,"[('m', 0.0, 0.07), ('m', 0.24, 0.27), ('m', 1.08, 1.17), ('m', 1.57, 1.63), ('f', 1.63, 1.68), ('m', 1.75, 1.78), ('f', 1.84, 1.89)]","[('m', 0.016, 0.096), ('m', 0.306, 0.396), ('m', 0.936, 1.026), ('B', 1.526, 1.576), ('f', 1.976, 2.006)]",7,5
17,s2_1_seg18,"[('f', 0.69, 0.72), ('m', 0.8, 0.84)]","[('m', 0.096, 0.166), ('p', 0.266, 0.356), ('w', 0.356, 0.456), ('m', 0.586, 0.626)]",2,4
18,s2_1_seg19,"[('m', 0.1, 0.13), ('f', 0.17, 0.2), ('f', 0.57, 0.6), ('b', 0.95, 1.03), ('f', 1.44, 1.48), ('f', 1.83, 1.86), ('m', 1.94, 1.99)]","[('F', 0.666, 0.756), ('f', 0.756, 0.796), ('p', 1.226, 1.296), ('m', 1.726, 1.806), ('B', 1.996, 2.066)]",7,5
19,s2_1_seg20,"[('f', 0.0, 0.03), ('m=', 0.03, 0.07), ('w', 0.13, 0.16), ('p', 0.52, 0.55)]","[('w', 0.276, 0.396), ('m', 0.516, 0.556)]",4,2
20,s2_1_seg21,"[('w', 0.88, 0.92)]","[('w', 0.066, 0.136), ('m', 0.536, 0.616), ('p', 0.616, 0.646), ('p', 0.756, 0.786), ('m', 0.986, 1.066), ('B', 1.066, 1.096), ('m', 1.896, 1.936), ('b', 1.936, 1.966)]",1,8
