,ENG-SPA_id,Phonemes_ENG,Phonemes_SPA,Total_phonemes_ENG,Total_phonemes_SPA
0,s3_11_seg1,"[('v', 0.42, 0.45), ('f', 0.52, 0.57), ('p', 1.42, 1.47), ('m', 2.13, 2.16), ('m', 2.19, 2.22)]","[('B', 0.086, 0.116), ('p', 0.736, 0.766), ('B', 1.196, 1.236), ('m', 1.646, 1.676), ('m', 1.756, 1.806)]",5,5
1,s3_11_seg2,"[('p', 0.91, 0.95), ('m', 1.06, 1.11)]","[('p', 0.526, 0.576), ('m', 0.756, 0.786), ('w', 0.916, 0.946)]",2,3
2,s3_11_seg3,[],"[('m', 0.056, 0.176)]",0,1
3,s3_11_seg4,"[('w', 0.0, 0.03)]",[],1,0
4,s3_11_seg5,"[('b', 0.21, 0.24), ('w', 0.53, 0.56)]","[('p', 0.0, 0.036)]",2,1
5,s3_11_seg6,"[('p', 0.0, 0.05)]","[('m', 0.806, 0.836)]",1,1
6,s3_11_seg7,"[('w', 0.0, 0.08), ('w', 1.07, 1.23), ('w', 1.36, 1.39), ('w', 1.44, 1.61), ('m', 1.95, 2.12)]","[('m', 0.036, 0.066), ('p', 0.066, 0.096), ('p', 0.726, 0.756), ('m', 0.986, 1.016), ('m', 2.306, 2.336)]",5,5
7,s3_11_seg8,"[('m', 0.88, 1.65)]",[],1,0
8,s3_11_seg9,"[('w', 0.0, 0.11), ('b', 1.12, 1.21), ('p', 2.54, 2.57)]","[('B', 0.056, 0.086), ('m', 0.226, 0.266), ('p', 1.736, 1.806)]",3,3
9,s3_11_seg10,"[('m', 0.07, 0.1), ('m', 0.34, 0.37), ('p', 0.37, 0.41)]","[('p', 0.776, 0.806), ('p', 0.986, 1.016)]",3,2
10,s3_11_seg11,"[('b', 0.24, 0.28), ('m', 0.68, 0.75), ('f', 0.81, 0.93)]","[('B', 0.816, 0.846), ('p', 1.066, 1.116), ('m', 1.706, 1.746), ('p', 1.806, 1.876)]",3,4
11,s3_11_seg12,[],"[('m', 0.066, 0.096), ('m', 0.406, 0.436)]",0,2
12,s3_11_seg13,"[('w', 0.405, 0.45)]","[('m', 0.356, 0.386), ('p', 0.436, 0.466)]",1,2
13,s3_11_seg14,"[('w', 0.61, 0.64)]","[('B', 0.181, 0.276)]",1,1
14,s3_11_seg15,"[('b', 0.38, 0.41), ('f', 0.83, 0.91)]","[('B', 0.206, 0.236), ('p', 0.996, 1.026)]",2,2
15,s3_11_seg16,"[('m', 0.08, 0.11)]","[('m', 0.226, 0.276), ('f', 0.336, 0.366), ('m', 0.666, 0.736)]",1,3
16,s3_11_seg17,"[('m', 0.62, 0.67), ('b', 0.71, 0.8), ('f', 0.98, 1.09)]","[('m', 0.176, 0.216)]",3,1
17,s3_11_seg18,"[('b', 0.6, 0.63), ('f', 1.31, 1.38)]","[('w', 0.776, 0.856), ('p', 0.916, 0.946), ('F', 1.306, 1.336), ('f', 1.336, 1.366)]",2,4
18,s3_11_seg19,[],"[('B', 0.056, 0.086), ('p', 0.166, 0.196), ('B', 1.026, 1.086)]",0,3
19,s3_11_seg20,"[('p', 0.2, 0.23), ('w', 1.03, 1.07)]","[('w', 1.036, 1.066), ('p', 1.406, 1.436)]",2,2
20,s3_11_seg21,"[('m', 0.69, 0.74), ('m', 2.44, 2.47)]","[('b', 0.0, 0.026), ('m', 0.306, 0.366), ('B', 0.476, 0.506), ('p', 1.506, 1.536)]",2,4
21,s3_11_seg22,[],[],0,0
22,s3_11_seg23,"[('w', 6.0, 6.1), ('b', 6.85, 6.88), ('w', 9.43, 9.46)]","[('m', 6.086, 6.226), ('m', 7.836, 7.886)]",3,2
23,s3_11_seg24,"[('v', 0.49, 0.53), ('w', 0.77, 0.89), ('f', 1.13, 1.24), ('m', 1.6, 3.02), ('b', 3.02, 3.09), ('v', 3.37, 3.41), ('f', 3.61, 3.68), ('m', 3.94, 4.0), ('m', 4.34, 4.41), ('p', 4.75, 4.79), ('m', 7.45, 7.75), ('b', 8.01, 8.05), ('v', 8.26, 8.32), ('m', 9.28, 9.34)]","[('B', 0.206, 0.236), ('B', 2.716, 2.776), ('m', 3.116, 3.196), ('b', 3.196, 3.226), ('p', 3.736, 3.776), ('w', 3.776, 3.816), ('p', 4.026, 4.076), ('m', 8.686, 8.746), ('b', 8.746, 8.786), ('m', 9.101, 9.176), ('f', 9.456, 9.496), ('w', 9.496, 9.526)]",14,12
24,s3_11_seg25,"[('w', 0.15, 0.22), ('f', 0.91, 0.96), ('b', 0.96, 1.05), ('m', 1.63, 1.73)]","[('p', 0.0, 0.056), ('m', 0.496, 0.546), ('B', 0.646, 0.676), ('m', 1.006, 1.036)]",4,4
25,s3_11_seg26,"[('v', 0.46, 0.54), ('w', 0.81, 0.84), ('b', 0.88, 0.91)]",[],3,0
26,s3_11_seg27,"[('w', 1.57, 1.64), ('p', 2.29, 2.32), ('w', 4.05, 4.16), ('v', 4.79, 4.86)]","[('p', 0.056, 0.086), ('w', 0.386, 0.416), ('B', 1.126, 1.156), ('B', 4.486, 4.576), ('B', 4.746, 4.796), ('B', 4.866, 4.916), ('m', 6.206, 6.236)]",4,7
27,s3_11_seg28,"[('w', 1.53, 1.59), ('v', 1.74, 1.78), ('f', 1.89, 1.96), ('w', 2.48, 2.53), ('b', 3.09, 3.12), ('w', 3.65, 3.74)]","[('b', 0.016, 0.046)]",6,1
28,s3_11_seg29,"[('v', 0.3, 0.35), ('v', 0.94, 0.97), ('m', 1.16, 1.25), ('b', 1.55, 1.58), ('p', 2.65, 2.68)]","[('p', 0.106, 0.136), ('m', 0.656, 0.716), ('m', 0.746, 0.776), ('B', 0.986, 1.026), ('p', 1.836, 1.866)]",5,5
29,s3_11_seg30,"[('p', 0.54, 0.595), ('b', 1.82, 1.85), ('b', 2.63, 2.66), ('b', 3.19, 3.27), ('b', 3.62, 3.68)]","[('p', 0.0, 0.026), ('B', 0.806, 0.846), ('B', 1.186, 1.216), ('B', 1.696, 1.726)]",5,4
30,s3_11_seg31,"[('f', 0.04, 0.085), ('v', 0.4, 0.45), ('m', 0.45, 0.48), ('b', 1.26, 1.29)]","[('m', 0.066, 0.106), ('p', 0.996, 1.046)]",4,2
31,s3_11_seg32,"[('v', 0.51, 0.54)]","[('m', 0.086, 0.116), ('m', 0.246, 0.276)]",1,2
32,s3_11_seg33,"[('b', 0.03, 0.11), ('p', 0.43, 0.54), ('m', 1.12, 1.25), ('m', 1.53, 1.62), ('v', 1.75, 1.84), ('b', 2.24, 2.33)]","[('p', 0.376, 0.416), ('m', 0.606, 0.636), ('B', 0.666, 0.696), ('w', 0.696, 0.766), ('B', 0.856, 0.886), ('B', 1.016, 1.086), ('B', 1.506, 1.556)]",6,7
33,s3_11_seg34,"[('w', 0.02, 0.06)]",[],1,0
34,s3_11_seg35,[],"[('B', 0.286, 0.316)]",0,1
35,s3_11_seg36,"[('v', 1.15, 1.26), ('w', 1.35, 1.4), ('p', 2.28, 2.35)]","[('m', 1.226, 1.256)]",3,1
36,s3_11_seg37,"[('w', 0.0, 0.04), ('w', 1.23, 1.27)]","[('p', 0.196, 0.226)]",2,1
