,ENG-SPA_id,Phonemes_ENG,Phonemes_SPA,Total_phonemes_ENG,Total_phonemes_SPA
0,s2_10_seg1,"[('p', 0.0, 0.03), ('v', 0.15, 0.19)]","[('p', 0.526, 0.566)]",2,1
1,s2_10_seg2,"[('w', 0.0, 0.03), ('b', 0.29, 0.33), ('w', 0.55, 0.65), ('b', 0.73, 0.96)]","[('w', 0.046, 0.146), ('B', 0.321, 0.406), ('w', 0.406, 0.456), ('B', 0.556, 0.596), ('m', 0.936, 0.986)]",4,5
2,s2_10_seg3,"[('m', 0.45, 0.5), ('v', 2.06, 2.09), ('f', 2.32, 2.37)]","[('b', 0.046, 0.096), ('p', 0.916, 0.986), ('p', 1.126, 1.196), ('B', 2.256, 2.306)]",3,4
3,s2_10_seg4,"[('v', 0.69, 0.76), ('v', 0.83, 0.92)]","[('p', 0.486, 0.526), ('b', 0.836, 0.876)]",2,2
4,s2_10_seg5,"[('m', 0.0, 0.15), ('b', 0.22, 0.29)]","[('m', 0.0, 0.096)]",2,1
5,s2_10_seg6,"[('m', 0.1, 0.63)]",[],1,0
6,s2_10_seg7,"[('v', 2.21, 2.29)]","[('B', 0.796, 0.906), ('p', 1.086, 1.116), ('B', 1.246, 1.466), ('B', 2.196, 2.236)]",1,4
7,s2_10_seg8,"[('v', 0.81, 0.84)]",[],1,0
8,s2_10_seg9,"[('m', 0.18, 0.21), ('m', 0.27, 0.3), ('b', 0.3, 0.33), ('v', 0.44, 0.49)]","[('m', 0.056, 0.156), ('w', 0.296, 0.336)]",4,2
9,s2_10_seg10,"[('w', 0.05, 0.14), ('m', 0.43, 0.46), ('b', 0.57, 0.62), ('b', 0.88, 0.93), ('m', 1.28, 1.32)]","[('p', 0.526, 0.606), ('m', 1.056, 1.106), ('p', 1.496, 1.546), ('B', 1.626, 1.666)]",5,4
10,s2_10_seg11,"[('m', 0.31, 0.34)]","[('b', 0.076, 0.176)]",1,1
11,s2_10_seg12,[],[],0,0
12,s2_10_seg13,"[('m', 0.18, 0.215), ('w', 0.43, 0.53)]","[('m', 0.196, 0.286), ('B', 1.416, 1.466)]",2,2
13,s2_10_seg14,"[('v', 0.17, 0.2), ('w', 0.54, 0.63), ('p', 0.69, 0.75)]","[('m', 0.366, 0.416), ('B', 0.456, 0.516)]",3,2
14,s2_10_seg15,"[('w', 0.07, 0.1), ('m', 0.33, 0.36), ('b', 0.44, 0.48), ('m', 0.88, 0.97), ('v', 1.19, 1.24), ('b', 2.68, 2.82), ('m', 5.38, 5.43)]","[('m', 0.0, 0.026), ('B', 0.226, 0.266), ('B', 0.436, 0.466), ('B', 0.816, 0.846), ('m', 1.476, 1.546), ('p', 1.546, 1.586), ('B', 1.886, 1.936), ('B', 2.226, 2.266), ('m', 2.876, 2.916), ('b', 2.916, 2.956), ('m', 3.176, 3.236), ('w', 3.666, 3.726), ('p', 4.666, 4.726), ('w', 4.726, 4.756), ('m', 5.416, 5.466), ('b', 5.466, 5.496)]",7,16
15,s2_10_seg16,"[('w', 0.5, 0.61), ('f', 2.09, 2.18), ('m=', 2.18, 2.25), ('w', 3.04, 3.07), ('m', 3.87, 3.92), ('b', 3.92, 3.95), ('w', 4.05, 4.08), ('m', 4.165, 4.23)]","[('B', 0.806, 0.836), ('w', 0.986, 1.016), ('B', 1.046, 1.076), ('B', 3.226, 3.256), ('p', 3.346, 3.376), ('B', 3.606, 3.646), ('B', 3.746, 3.796), ('m', 4.206, 4.286)]",8,8
16,s2_10_seg17,[],"[('m', 0.016, 0.086)]",0,1
17,s2_10_seg18,"[('m', 0.07, 0.13), ('p', 0.13, 0.22), ('v', 0.47, 0.55)]","[('m', 0.086, 0.156), ('p', 0.156, 0.186)]",3,2
18,s2_10_seg19,"[('v', 0.07, 0.1), ('v', 1.72, 1.75), ('b', 2.03, 2.06), ('b', 2.29, 2.34), ('v', 2.46, 2.55)]","[('p', 1.476, 1.526), ('w', 1.526, 1.586), ('p', 2.096, 2.126), ('m', 2.436, 2.486), ('B', 2.716, 2.766)]",5,5
19,s2_10_seg20,"[('w', 0.0, 0.03), ('b', 0.57, 0.63), ('v', 0.89, 0.95)]","[('B', 0.236, 0.266), ('B', 0.836, 0.896)]",3,2
20,s2_10_seg21,"[('v', 0.48, 0.51), ('v', 1.13, 1.17), ('w', 1.23, 1.26), ('p', 1.41, 1.48), ('p', 1.55, 1.59)]","[('m', 0.006, 0.126), ('B', 0.516, 0.546), ('p', 1.606, 1.646), ('B', 1.706, 1.756)]",5,4
21,s2_10_seg22,"[('p', 0.04, 0.09), ('w', 1.06, 1.09), ('v', 1.23, 1.29)]","[('p', 0.0, 0.056), ('p', 1.026, 1.246), ('B', 1.666, 1.706), ('m', 1.896, 1.926), ('m', 2.196, 2.236), ('B', 2.396, 2.456)]",3,6
22,s2_10_seg23,"[('v', 0.32, 0.37), ('w', 1.15, 1.18), ('m', 2.31, 2.35)]","[('m', 2.116, 2.216)]",3,1
23,s2_10_seg24,"[('m', 0.2, 0.23), ('m', 0.43, 0.48)]","[('f', 1.171, 1.246), ('m', 1.296, 1.356)]",2,2
24,s2_10_seg25,"[('w', 0.22, 0.34), ('m', 0.38, 0.43), ('m', 1.17, 1.22), ('p', 1.22, 1.3), ('v', 2.4, 2.44), ('p', 2.78, 2.83)]","[('m', 0.536, 0.606), ('m', 1.286, 1.346), ('p', 1.346, 1.386), ('b', 2.686, 2.756), ('p', 3.146, 3.196)]",6,5
25,s2_10_seg26,"[('w', 0.06, 0.09), ('b', 0.19, 0.26)]","[('B', 0.576, 0.616)]",2,1
26,s2_10_seg27,"[('v', 0.07, 0.12), ('w', 0.81, 0.84), ('v', 1.92, 1.99), ('v', 2.22, 2.26), ('v', 2.67, 2.7), ('v', 3.14, 3.19), ('f', 3.52, 3.55), ('m=', 3.6, 3.64), ('m', 4.49, 4.53)]","[('m', 0.496, 0.556), ('b', 0.556, 0.586), ('m', 2.726, 2.756), ('B', 2.756, 2.796), ('m', 2.986, 3.036), ('m', 4.146, 4.206)]",9,6
27,s2_10_seg28,"[('m', 0.23, 0.26), ('p', 0.26, 0.29), ('m', 1.65, 1.7), ('p', 1.85, 1.91), ('v', 2.12, 2.16), ('w', 2.72, 2.79), ('p', 2.86, 2.91)]","[('m', 0.246, 0.326), ('p', 0.326, 0.366), ('m', 1.976, 2.016), ('b', 2.016, 2.056), ('B', 2.436, 2.486), ('m', 3.216, 3.286)]",7,6
28,s2_10_seg29,"[('p', 0.31, 0.37), ('m', 0.58, 0.65), ('b', 0.76, 0.79)]","[('B', 0.376, 0.416), ('p', 0.986, 1.036)]",3,2
29,s2_10_seg30,"[('w', 0.39, 0.43), ('m', 0.54, 0.57), ('f', 0.78, 0.84), ('m', 0.96, 1.04)]","[('m', 0.406, 0.456), ('F', 0.586, 0.616), ('f', 0.616, 0.666), ('m', 0.766, 0.856), ('m', 1.096, 1.156)]",4,5
30,s2_10_seg31,"[('m', 0.23, 0.32), ('p', 0.36, 0.39), ('m', 2.14, 2.2), ('v', 2.7, 2.8), ('w', 2.9, 2.99)]","[('m', 0.416, 0.446), ('m', 0.446, 0.496), ('p', 0.576, 0.656), ('m', 2.186, 2.256), ('m', 2.366, 2.436), ('B', 2.906, 2.956), ('w', 3.016, 3.066)]",5,7
31,s2_10_seg32,"[('m', 0.73, 0.78), ('p', 0.78, 0.81), ('f', 1.1, 1.13), ('p', 2.81, 2.84), ('v', 3.06, 3.17), ('m', 3.59, 3.94)]","[('f', 0.466, 0.516), ('m', 1.196, 1.236), ('p', 1.236, 1.276), ('B', 2.576, 2.626), ('f', 3.226, 3.276), ('w', 3.276, 3.306), ('B', 3.426, 3.456)]",6,7
