,ENG-SPA_id,Phonemes_ENG,Phonemes_SPA,Total_phonemes_ENG,Total_phonemes_SPA
0,s3_9_seg1,"[('p', 0.0, 0.03), ('v', 0.21, 0.25)]","[('p', 0.446, 0.506)]",2,1
1,s3_9_seg2,"[('b', 0.56, 0.59), ('v', 1.92, 1.96), ('m', 4.17, 5.08), ('b', 6.05, 6.08)]","[('B', 1.356, 1.416), ('m', 3.326, 3.506), ('p', 5.836, 5.866), ('w', 5.866, 5.926)]",4,4
2,s3_9_seg3,"[('f', 0.73, 0.8), ('m', 1.05, 1.08), ('m', 1.96, 1.99), ('p', 1.99, 2.02), ('p', 2.22, 2.37)]","[('m', 0.546, 0.616), ('f', 1.076, 1.116), ('w', 1.116, 1.156), ('m', 1.636, 1.666), ('p', 1.666, 1.696), ('p', 2.056, 2.156)]",5,6
3,s3_9_seg4,"[('p', 1.31, 1.37), ('p', 1.41, 1.46), ('p', 1.79, 1.82)]","[('p', 0.166, 0.206), ('B', 0.446, 0.506), ('p', 1.516, 1.616), ('p', 2.026, 2.086), ('w', 2.086, 2.146)]",3,5
4,s3_9_seg5,"[('v', 0.61, 0.67), ('p', 0.82, 0.86), ('m', 1.35, 1.42), ('p', 1.57, 1.6)]","[('p', 1.076, 1.106), ('p', 1.596, 1.666)]",4,2
5,s3_9_seg6,"[('b', 0.0, 0.11), ('v', 0.7, 0.76), ('m', 0.85, 0.92)]",[],3,0
6,s3_9_seg7,"[('m', 0.04, 0.085), ('p', 0.49, 0.52), ('m', 1.17, 1.23), ('v', 1.56, 1.61)]","[('p', 0.716, 0.756)]",4,1
7,s3_9_seg8,"[('m', 0.61, 0.71), ('p', 0.83, 0.87), ('v', 0.94, 0.98), ('w', 1.33, 1.37), ('v', 1.73, 1.76), ('v', 1.81, 1.86), ('b', 2.05, 2.08)]","[('p', 0.676, 0.706), ('B', 0.866, 0.926)]",7,2
8,s3_9_seg9,"[('v', 1.14, 1.17)]","[('p', 0.416, 0.446), ('m', 1.086, 1.116)]",1,2
9,s3_9_seg10,"[('m', 0.04, 0.08), ('w', 1.65, 1.79), ('p', 2.14, 2.2)]","[('m', 0.216, 0.266), ('B', 0.296, 0.346), ('p', 0.536, 0.646)]",3,3
10,s3_9_seg11,"[('f', 0.82, 0.85), ('f', 1.19, 1.22)]","[('m', 0.826, 0.896), ('B', 1.166, 1.196), ('B', 1.276, 1.306), ('B', 1.366, 1.396)]",2,4
11,s3_9_seg12,"[('w', 0.62, 0.66), ('w', 1.12, 1.15), ('v', 1.38, 1.41), ('m', 1.51, 1.54), ('w', 1.89, 1.92)]","[('m', 1.036, 1.086), ('F', 1.186, 1.246), ('w', 1.246, 1.286), ('p', 1.826, 1.856), ('m', 2.016, 2.056), ('p', 2.376, 2.406)]",5,6
12,s3_9_seg13,"[('m', 1.16, 1.19)]","[('w', 1.486, 1.536)]",1,1
13,s3_9_seg14,"[('f', 0.06, 0.09), ('b', 0.36, 0.39)]","[('B', 0.146, 0.206), ('w', 1.036, 1.076)]",2,2
14,s3_9_seg15,"[('f', 1.97, 2.11), ('v', 3.54, 3.57)]","[('m', 5.156, 5.276), ('p', 5.366, 5.396)]",2,2
15,s3_9_seg16,[],"[('p', 0.0, 0.036), ('p', 0.166, 0.196), ('F', 0.606, 0.646), ('w', 0.646, 0.686)]",0,4
16,s3_9_seg17,"[('v', 0.81, 1.02)]","[('B', 1.036, 1.106), ('B', 1.236, 1.266)]",1,2
17,s3_9_seg18,"[('w', 0.54, 0.59)]","[('B', 0.566, 0.606)]",1,1
18,s3_9_seg19,"[('p', 0.03, 0.14)]","[('p', 0.0, 0.096)]",1,1
