,ENG-SPA_id,Phonemes_ENG,Phonemes_SPA,Total_phonemes_ENG,Total_phonemes_SPA
0,s3_8_seg1,"[('b', 0.71, 0.78), ('w', 3.27, 3.34)]","[('m', 0.156, 0.216), ('m', 0.866, 0.906), ('m', 2.176, 2.236), ('m', 3.366, 3.406), ('B', 3.726, 3.786)]",2,5
1,s3_8_seg2,"[('w', 0.0, 0.15), ('m', 0.93, 1.0), ('m', 1.2, 1.28), ('b', 2.53, 2.59)]","[('p', 0.0, 0.066), ('B', 1.846, 1.886), ('B', 1.966, 2.026), ('m', 2.096, 2.176), ('m', 2.286, 2.346), ('B', 2.426, 2.496)]",4,6
2,s3_8_seg3,"[('v', 0.14, 0.19), ('w', 0.34, 0.37)]","[('m', 0.486, 0.516), ('w', 0.816, 0.886)]",2,2
3,s3_8_seg4,"[('m', 0.0, 0.12), ('m', 0.31, 0.35), ('m', 1.42, 1.45)]","[('m', 0.066, 0.106), ('m', 0.336, 0.386), ('p', 1.486, 1.546)]",3,3
4,s3_8_seg5,"[('v', 0.18, 0.22), ('b', 0.77, 0.84), ('m', 1.13, 1.16), ('v', 1.3, 1.35), ('b', 2.14, 2.2), ('v', 2.35, 2.42), ('p', 3.03, 3.16), ('v', 3.33, 3.4)]","[('B', 0.986, 1.016), ('B', 1.286, 1.336), ('m', 1.766, 1.836), ('f', 2.636, 2.676), ('m', 2.816, 2.876), ('p', 3.026, 3.076)]",8,6
5,s3_8_seg6,"[('w', 0.0, 0.11), ('m', 0.2, 0.27), ('m', 0.67, 0.84), ('w', 0.84, 0.9), ('p', 1.14, 1.25), ('v', 1.46, 1.57), ('w', 3.03, 3.06)]","[('m', 1.176, 1.236), ('p', 1.236, 1.266), ('m', 1.636, 1.706), ('m', 3.106, 3.166)]",7,4
6,s3_8_seg7,"[('w', 0.28, 0.38)]","[('B', 0.336, 0.376)]",1,1
7,s3_8_seg8,"[('w', 0.17, 0.2), ('v', 0.39, 0.45), ('p', 0.83, 0.87), ('f', 1.66, 1.73), ('p', 2.61, 2.64)]","[('p', 0.0, 0.046), ('m', 0.206, 0.266), ('B', 0.476, 0.516), ('p', 1.006, 1.066), ('f', 2.116, 2.166), ('w', 2.166, 2.226), ('m', 2.646, 2.696), ('m', 3.446, 3.506)]",5,8
8,s3_8_seg9,"[('f', 0.01, 0.04), ('v', 0.48, 0.55), ('m', 0.97, 1.08), ('p', 1.25, 1.31), ('p', 1.35, 1.38), ('v', 1.62, 1.73), ('p', 2.27, 2.39), ('w', 2.67, 2.73), ('f', 2.86, 2.9), ('p', 4.72, 4.78), ('m', 5.54, 5.79), ('v', 5.95, 5.98)]","[('m', 0.716, 0.746), ('f', 0.856, 0.886), ('m', 0.946, 1.016), ('p', 2.416, 2.466), ('w', 2.716, 2.846), ('p', 3.196, 3.226), ('m', 4.696, 4.746), ('B', 6.476, 6.526)]",12,8
9,s3_8_seg10,"[('m', 0.37, 1.95), ('b', 2.47, 2.51), ('m', 2.72, 2.76)]","[('b', 0.006, 0.086), ('p', 2.476, 2.546), ('m', 2.656, 2.706), ('B', 2.766, 2.806)]",3,4
10,s3_8_seg11,[],[],0,0
11,s3_8_seg12,"[('f', 0.22, 0.33), ('v', 0.74, 0.82), ('w', 1.37, 1.4), ('m', 1.47, 1.56), ('v', 2.17, 2.27)]","[('p', 0.0, 0.046), ('m', 0.896, 0.986), ('m', 2.206, 2.306)]",5,3
12,s3_8_seg13,"[('w', 0.0, 0.06), ('m', 0.15, 0.21), ('b', 0.7, 0.79), ('m', 1.53, 1.84), ('f', 2.02, 2.05), ('f', 2.47, 2.52)]","[('B', 0.276, 0.326), ('p', 0.716, 0.746), ('B', 1.836, 1.886), ('f', 1.936, 1.966), ('m', 2.826, 2.896)]",6,5
13,s3_8_seg14,"[('w', 0.0, 0.12), ('w', 0.49, 0.58), ('w', 1.28, 1.31), ('v', 1.51, 1.61)]","[('m', 1.076, 1.186), ('m', 1.356, 1.426), ('B', 2.146, 2.226)]",4,3
14,s3_8_seg15,"[('f', 1.33, 1.43), ('v', 3.37, 3.42)]","[('p', 0.0, 0.046), ('m', 1.606, 1.636), ('f', 1.886, 1.996), ('w', 2.536, 2.566), ('B', 2.596, 2.666), ('m', 3.766, 3.816)]",2,6
15,s3_8_seg16,"[('p', 0.0, 0.04), ('m', 1.33, 1.5), ('p', 1.5, 1.53), ('f', 2.86, 2.89)]","[('p', 0.006, 0.046), ('p', 0.296, 0.366), ('m', 1.416, 1.516), ('p', 1.516, 1.576), ('p', 2.576, 2.646)]",4,5
16,s3_8_seg17,[],"[('B', 1.036, 1.066)]",0,1
17,s3_8_seg18,"[('b', 0.01, 0.04), ('m', 0.13, 0.17), ('v', 0.44, 0.51), ('v', 2.31, 3.37), ('v', 3.67, 3.77), ('m', 3.77, 3.86), ('f', 4.31, 4.34)]","[('B', 0.196, 0.236), ('p', 1.526, 1.576), ('m', 3.676, 3.766), ('m', 4.106, 4.156), ('B', 4.206, 4.246)]",7,5
18,s3_8_seg19,"[('w', 0.29, 0.32), ('v', 0.9, 0.96)]","[('p', 1.816, 1.876)]",2,1
19,s3_8_seg20,"[('m', 0.2, 0.23), ('v', 0.6, 0.79)]","[('m', 0.216, 0.246), ('B', 0.816, 0.876)]",2,2
20,s3_8_seg21,"[('m', 0.79, 0.84)]","[('m', 0.326, 0.396), ('b', 0.396, 0.426)]",1,2
21,s3_8_seg22,"[('f', 0.03, 0.06), ('f', 0.21, 0.25), ('v', 0.84, 0.93), ('m', 0.93, 0.96), ('w', 1.5, 1.53)]","[('p', 0.286, 0.376), ('w', 0.376, 0.436), ('w', 0.686, 0.746), ('p', 1.756, 1.806), ('B', 1.866, 1.896)]",5,5
22,s3_8_seg23,[],"[('B', 0.276, 0.306), ('w', 0.306, 0.346), ('p', 0.476, 0.506), ('p', 0.606, 0.646)]",0,4
23,s3_8_seg24,[],[],0,0
24,s3_8_seg25,"[('m', 7.55, 7.63)]","[('B', 0.356, 0.386), ('w', 0.386, 0.446), ('m', 6.796, 6.826)]",1,3
25,s3_8_seg26,"[('f', 0.68, 0.77), ('b', 1.04, 1.07), ('f', 1.65, 1.76), ('v', 2.46, 2.5), ('m', 4.39, 4.46)]","[('w', 0.046, 0.136), ('f', 0.746, 0.796), ('B', 1.126, 1.156), ('w', 1.856, 1.916), ('B', 2.106, 2.146), ('m', 2.236, 2.296), ('b', 2.296, 2.326), ('m', 2.876, 3.026), ('m', 4.286, 4.316)]",5,9
26,s3_8_seg27,"[('m', 0.4, 0.46)]","[('m', 0.396, 0.426)]",1,1
27,s3_8_seg28,"[('v', 0.39, 0.48), ('m', 0.48, 0.52)]","[('m', 0.736, 0.776)]",2,1
28,s3_8_seg29,"[('f', 0.38, 0.41), ('f', 0.86, 1.12)]","[('p', 0.546, 0.626)]",2,1
29,s3_8_seg30,"[('m', 0.07, 0.11)]","[('b', 0.026, 0.086), ('B', 0.376, 0.416), ('m', 0.486, 0.536)]",1,3
